Date,PM10,PM25,NO2
13-01-21,17.43,15.79,28.35
14-01-21,24.31,21.97,38.06
15-01-21,28.05,25.55,43.53
16-01-21,19.69,16.93,33.99
17-01-21,28.8,26.42,24.65
18-01-21,44.09,40.85,46.38
19-01-21,30.5,24.8,51.41
20-01-21,38.52,35.17,47.69
21-01-21,35.51,30.07,61.27
22-01-21,65.74,55.37,92.18
23-01-21,76.28,66.86,84.55
24-01-21,44.72,39.96,44.61
25-01-21,16.71,14.46,35.05
26-01-21,25.84,23.7,59.47
27-01-21,15.64,13.82,41.63
28-01-21,19.93,18.52,36.25
29-01-21,22.79,20.56,46.01
30-01-21,44.12,41.24,61.41
31-01-21,20.78,18.57,33.28
01-02-21,23.54,19.79,44.95
02-02-21,22.08,17.74,36.71
03-02-21,16.17,9.33,21.81
04-02-21,13.99,12.02,30.79
05-02-21,22.11,16.86,61.21
06-02-21,24.91,19.37,37.52
07-02-21,8.71,7.49,26.04
08-02-21,11.28,8.94,46.97
09-02-21,24.95,15.01,49.88
10-02-21,27.22,18.79,58.46
11-02-21,35.7,26.52,57.54
12-02-21,19.87,16.39,37.14
13-02-21,12.42,10.4,28.1
14-02-21,16.27,14.82,34.57
